tipo_solo,seca,chuva,mes_plantio,irrigacao,pragas,regiao,perda_safra
medio,nenhuma,normal,outubro,convencional,media,baixada,Não
argiloso,nenhuma,normal,novembro,plantio_direto,baixa,transicao,Não
argiloso,moderada,pouca,outubro,convencional,media,planalto,Sim
arenoso,nenhuma,normal,outubro,convencional,media,baixada,Não
medio,severa,normal,novembro,convencional,media,baixada,Sim
medio,nenhuma,normal,outubro,plantio_direto,baixa,planalto,Não
medio,nenhuma,normal,outubro,plantio_direto,alta,transicao,Não
argiloso,moderada,normal,outubro,irrigado,media,transicao,Não
arenoso,moderada,normal,outubro,plantio_direto,baixa,planalto,Não
arenoso,nenhuma,excessiva,outubro,irrigado,media,planalto,Não
medio,nenhuma,excessiva,dezembro,plantio_direto,baixa,baixada,Não
argiloso,nenhuma,normal,novembro,convencional,media,planalto,Não
arenoso,moderada,pouca,dezembro,plantio_direto,media,transicao,Sim
argiloso,moderada,normal,outubro,plantio_direto,alta,baixada,Não
medio,nenhuma,pouca,dezembro,plantio_direto,media,transicao,Sim
arenoso,moderada,pouca,novembro,plantio_direto,baixa,planalto,Não
arenoso,severa,normal,outubro,convencional,alta,planalto,Sim
argiloso,moderada,pouca,outubro,plantio_direto,media,planalto,Não
argiloso,nenhuma,normal,novembro,plantio_direto,baixa,baixada,Não
argiloso,nenhuma,normal,outubro,plantio_direto,media,planalto,Não
argiloso,moderada,normal,dezembro,convencional,baixa,planalto,Não
argiloso,nenhuma,pouca,novembro,plantio_direto,media,baixada,Não
argiloso,nenhuma,normal,outubro,convencional,media,baixada,Não
argiloso,nenhuma,pouca,outubro,plantio_direto,media,planalto,Não
argiloso,severa,normal,dezembro,plantio_direto,baixa,baixada,Não
arenoso,severa,pouca,outubro,plantio_direto,baixa,planalto,Sim
argiloso,severa,normal,novembro,plantio_direto,media,baixada,Não
medio,moderada,normal,outubro,irrigado,media,transicao,Não
argiloso,moderada,normal,dezembro,plantio_direto,alta,planalto,Não
medio,moderada,normal,outubro,irrigado,baixa,transicao,Não
argiloso,moderada,normal,dezembro,plantio_direto,media,planalto,Não
medio,nenhuma,normal,novembro,plantio_direto,media,baixada,Não
argiloso,nenhuma,normal,dezembro,irrigado,alta,planalto,Não
arenoso,moderada,excessiva,dezembro,plantio_direto,baixa,baixada,Sim
medio,severa,normal,outubro,plantio_direto,media,planalto,Não
medio,nenhuma,excessiva,outubro,plantio_direto,alta,baixada,Sim
argiloso,nenhuma,normal,novembro,plantio_direto,baixa,transicao,Não
argiloso,nenhuma,normal,dezembro,irrigado,media,baixada,Não
argiloso,nenhuma,normal,dezembro,convencional,alta,baixada,Sim
argiloso,nenhuma,pouca,dezembro,plantio_direto,media,planalto,Não
arenoso,severa,pouca,dezembro,plantio_direto,media,planalto,Sim
arenoso,severa,pouca,outubro,convencional,baixa,baixada,Sim
argiloso,severa,normal,outubro,convencional,baixa,planalto,Não
argiloso,severa,pouca,outubro,plantio_direto,media,baixada,Sim
arenoso,nenhuma,pouca,outubro,irrigado,baixa,planalto,Não
medio,nenhuma,excessiva,novembro,plantio_direto,media,planalto,Não
argiloso,severa,normal,novembro,convencional,media,planalto,Sim
medio,nenhuma,normal,novembro,convencional,baixa,planalto,Não
argiloso,nenhuma,normal,outubro,irrigado,media,baixada,Não
argiloso,moderada,normal,outubro,plantio_direto,media,transicao,Não
argiloso,nenhuma,normal,dezembro,convencional,baixa,planalto,Não
medio,nenhuma,pouca,novembro,plantio_direto,baixa,planalto,Sim
argiloso,nenhuma,pouca,outubro,plantio_direto,media,planalto,Não
argiloso,nenhuma,excessiva,outubro,convencional,media,planalto,Não
argiloso,severa,normal,outubro,plantio_direto,alta,transicao,Não
medio,severa,excessiva,dezembro,irrigado,media,transicao,Sim
arenoso,moderada,pouca,novembro,plantio_direto,baixa,planalto,Não
arenoso,moderada,excessiva,outubro,plantio_direto,baixa,planalto,Não
medio,nenhuma,normal,novembro,convencional,baixa,planalto,Não
argiloso,nenhuma,normal,dezembro,plantio_direto,media,baixada,Não
argiloso,nenhuma,normal,novembro,convencional,alta,planalto,Não
medio,moderada,normal,outubro,plantio_direto,baixa,planalto,Não
argiloso,nenhuma,normal,outubro,plantio_direto,baixa,planalto,Não
argiloso,moderada,normal,outubro,plantio_direto,media,planalto,Não
arenoso,nenhuma,pouca,novembro,plantio_direto,baixa,planalto,Não
arenoso,nenhuma,excessiva,novembro,plantio_direto,media,baixada,Sim
argiloso,nenhuma,normal,novembro,plantio_direto,baixa,transicao,Não
argiloso,moderada,pouca,outubro,convencional,alta,planalto,Sim
argiloso,moderada,pouca,outubro,convencional,baixa,transicao,Não
argiloso,moderada,pouca,novembro,plantio_direto,alta,transicao,Sim
argiloso,nenhuma,normal,outubro,convencional,alta,planalto,Não
medio,severa,pouca,outubro,convencional,alta,planalto,Sim
medio,nenhuma,normal,novembro,plantio_direto,alta,baixada,Sim
arenoso,nenhuma,normal,novembro,plantio_direto,baixa,baixada,Não
argiloso,moderada,normal,dezembro,convencional,baixa,planalto,Não
argiloso,moderada,normal,novembro,plantio_direto,media,transicao,Não
argiloso,nenhuma,excessiva,outubro,plantio_direto,media,transicao,Não
medio,nenhuma,pouca,outubro,plantio_direto,baixa,planalto,Não
medio,moderada,normal,outubro,plantio_direto,media,baixada,Não
argiloso,nenhuma,normal,outubro,plantio_direto,baixa,transicao,Não
arenoso,moderada,excessiva,outubro,convencional,media,baixada,Sim
argiloso,nenhuma,normal,outubro,irrigado,media,baixada,Não
argiloso,moderada,normal,outubro,plantio_direto,baixa,baixada,Não
arenoso,moderada,pouca,outubro,plantio_direto,media,planalto,Não
arenoso,nenhuma,excessiva,novembro,convencional,alta,planalto,Sim
medio,nenhuma,normal,outubro,plantio_direto,media,transicao,Não
argiloso,moderada,pouca,outubro,plantio_direto,alta,transicao,Não
medio,severa,normal,novembro,plantio_direto,alta,baixada,Sim
argiloso,nenhuma,pouca,novembro,plantio_direto,baixa,transicao,Não
arenoso,nenhuma,normal,outubro,plantio_direto,media,planalto,Não
argiloso,severa,pouca,novembro,irrigado,alta,transicao,Sim
argiloso,moderada,normal,novembro,irrigado,baixa,transicao,Não
argiloso,nenhuma,normal,outubro,plantio_direto,alta,planalto,Não
argiloso,severa,pouca,novembro,plantio_direto,baixa,planalto,Não
argiloso,nenhuma,pouca,novembro,plantio_direto,media,planalto,Não
arenoso,moderada,pouca,outubro,plantio_direto,alta,planalto,Sim
argiloso,severa,excessiva,outubro,plantio_direto,media,transicao,Sim
arenoso,severa,normal,outubro,convencional,media,transicao,Sim
argiloso,severa,pouca,outubro,plantio_direto,media,baixada,Sim
arenoso,severa,normal,novembro,plantio_direto,alta,transicao,Sim
argiloso,nenhuma,excessiva,dezembro,plantio_direto,baixa,transicao,Não
medio,moderada,normal,outubro,plantio_direto,media,transicao,Não
arenoso,nenhuma,pouca,novembro,convencional,media,transicao,Não
arenoso,nenhuma,normal,novembro,plantio_direto,alta,baixada,Não
medio,nenhuma,pouca,outubro,plantio_direto,baixa,transicao,Não
argiloso,moderada,excessiva,dezembro,convencional,alta,planalto,Sim
medio,moderada,pouca,outubro,plantio_direto,media,baixada,Não
medio,nenhuma,normal,novembro,convencional,media,transicao,Não
argiloso,moderada,normal,outubro,plantio_direto,media,transicao,Não
argiloso,nenhuma,pouca,novembro,plantio_direto,alta,planalto,Não
argiloso,nenhuma,normal,novembro,irrigado,media,planalto,Não
argiloso,moderada,excessiva,outubro,plantio_direto,alta,planalto,Não
argiloso,nenhuma,excessiva,novembro,irrigado,baixa,baixada,Não
argiloso,moderada,excessiva,novembro,plantio_direto,media,transicao,Não
argiloso,moderada,excessiva,outubro,plantio_direto,media,transicao,Não
medio,severa,excessiva,dezembro,plantio_direto,baixa,planalto,Sim
medio,nenhuma,normal,novembro,plantio_direto,baixa,transicao,Não
medio,severa,pouca,outubro,convencional,media,baixada,Sim
argiloso,nenhuma,pouca,outubro,irrigado,alta,transicao,Não
arenoso,severa,normal,novembro,plantio_direto,media,transicao,Sim
medio,moderada,pouca,dezembro,plantio_direto,baixa,planalto,Não
medio,severa,normal,outubro,convencional,alta,planalto,Sim
argiloso,severa,normal,outubro,plantio_direto,alta,planalto,Não
medio,moderada,pouca,outubro,convencional,baixa,planalto,Sim
argiloso,nenhuma,pouca,outubro,plantio_direto,media,baixada,Não
argiloso,moderada,normal,dezembro,plantio_direto,media,planalto,Não
arenoso,nenhuma,excessiva,novembro,plantio_direto,baixa,transicao,Não
argiloso,moderada,normal,novembro,plantio_direto,baixa,baixada,Não
argiloso,severa,normal,dezembro,plantio_direto,baixa,planalto,Não
medio,nenhuma,normal,novembro,plantio_direto,baixa,planalto,Não
medio,moderada,pouca,outubro,convencional,media,planalto,Não
arenoso,nenhuma,pouca,dezembro,plantio_direto,media,baixada,Sim
argiloso,nenhuma,excessiva,outubro,irrigado,baixa,planalto,Não
argiloso,nenhuma,excessiva,novembro,plantio_direto,alta,transicao,Não
medio,nenhuma,pouca,dezembro,plantio_direto,media,transicao,Sim
argiloso,nenhuma,normal,outubro,plantio_direto,baixa,planalto,Não
argiloso,nenhuma,pouca,outubro,convencional,baixa,planalto,Não
arenoso,moderada,excessiva,novembro,plantio_direto,baixa,planalto,Não
arenoso,severa,pouca,dezembro,plantio_direto,media,transicao,Sim
medio,nenhuma,normal,novembro,plantio_direto,media,transicao,Não
arenoso,severa,pouca,novembro,plantio_direto,baixa,baixada,Sim
argiloso,nenhuma,pouca,outubro,plantio_direto,baixa,baixada,Não
argiloso,nenhuma,excessiva,outubro,convencional,baixa,planalto,Não
argiloso,moderada,pouca,novembro,plantio_direto,baixa,planalto,Não
medio,nenhuma,excessiva,outubro,plantio_direto,baixa,transicao,Não
argiloso,nenhuma,excessiva,outubro,plantio_direto,baixa,planalto,Não
argiloso,nenhuma,normal,outubro,plantio_direto,baixa,planalto,Não
argiloso,nenhuma,pouca,novembro,convencional,alta,planalto,Não
argiloso,nenhuma,pouca,dezembro,plantio_direto,media,transicao,Não
argiloso,nenhuma,normal,novembro,plantio_direto,alta,baixada,Não
arenoso,nenhuma,excessiva,novembro,plantio_direto,baixa,planalto,Não
argiloso,nenhuma,normal,novembro,irrigado,baixa,transicao,Não
arenoso,nenhuma,normal,outubro,plantio_direto,media,transicao,Não
arenoso,nenhuma,pouca,novembro,plantio_direto,alta,transicao,Sim
medio,severa,excessiva,outubro,plantio_direto,media,planalto,Sim
argiloso,nenhuma,normal,outubro,plantio_direto,alta,planalto,Não
arenoso,moderada,normal,outubro,plantio_direto,media,baixada,Não
arenoso,moderada,normal,outubro,plantio_direto,baixa,planalto,Não
argiloso,moderada,normal,outubro,plantio_direto,media,planalto,Não
argiloso,nenhuma,normal,outubro,plantio_direto,media,transicao,Não
argiloso,nenhuma,excessiva,outubro,convencional,media,baixada,Não
argiloso,moderada,normal,outubro,irrigado,media,planalto,Não
arenoso,nenhuma,normal,novembro,convencional,media,baixada,Não
medio,moderada,excessiva,outubro,plantio_direto,media,planalto,Não
arenoso,nenhuma,normal,outubro,plantio_direto,alta,planalto,Não
arenoso,severa,normal,outubro,convencional,baixa,planalto,Sim
arenoso,moderada,pouca,outubro,plantio_direto,media,transicao,Sim
argiloso,nenhuma,pouca,outubro,plantio_direto,baixa,baixada,Não
arenoso,nenhuma,pouca,dezembro,plantio_direto,baixa,planalto,Não
arenoso,severa,pouca,outubro,plantio_direto,media,baixada,Sim
argiloso,severa,pouca,outubro,convencional,baixa,baixada,Sim
argiloso,severa,normal,outubro,plantio_direto,baixa,planalto,Não
