id,distancia,clima,veiculo,transito,turno,dia_semana,tipo_carga,atraso
1,Curta,Chuva Leve,Caminhão,Leve,Noite,Final de Semana/Feriado,Frágil/Volume Especial,Não
2,Longa,Limpo,Van,Moderado,Manhã,Dia Útil,Padrão,Sim
3,Longa,Tempestade/Alerta,Van,Leve,Noite,Dia Útil,Frágil/Volume Especial,Não
4,Longa,Limpo,Caminhão,Moderado,Noite,Dia Útil,Frágil/Volume Especial,Não
5,Curta,Tempestade/Alerta,Caminhão,Severo,Tarde,Final de Semana/Feriado,Frágil/Volume Especial,Sim
6,Média,Chuva Leve,Van,Moderado,Tarde,Dia Útil,Padrão,Não
7,Longa,Limpo,Caminhão,Leve,Noite,Final de Semana/Feriado,Padrão,Não
8,Curta,Limpo,Caminhão,Leve,Manhã,Dia Útil,Padrão,Não
9,Longa,Tempestade/Alerta,Van,Severo,Noite,Dia Útil,Padrão,Sim
10,Média,Limpo,Van,Moderado,Tarde,Final de Semana/Feriado,Frágil/Volume Especial,Não
11,Curta,Limpo,Moto,Severo,Tarde,Final de Semana/Feriado,Padrão,Não
12,Longa,Limpo,Van,Leve,Manhã,Dia Útil,Padrão,Não
13,Média,Limpo,Moto,Moderado,Manhã,Final de Semana/Feriado,Frágil/Volume Especial,Não
14,Curta,Limpo,Caminhão,Moderado,Manhã,Dia Útil,Padrão,Não
15,Longa,Tempestade/Alerta,Moto,Severo,Noite,Final de Semana/Feriado,Frágil/Volume Especial,Sim
16,Média,Tempestade/Alerta,Van,Severo,Tarde,Final de Semana/Feriado,Frágil/Volume Especial,Sim
17,Média,Chuva Leve,Moto,Leve,Noite,Dia Útil,Frágil/Volume Especial,Não
18,Média,Limpo,Caminhão,Leve,Noite,Final de Semana/Feriado,Padrão,Não
19,Média,Limpo,Caminhão,Severo,Manhã,Dia Útil,Frágil/Volume Especial,Sim
20,Média,Chuva Leve,Moto,Leve,Manhã,Dia Útil,Frágil/Volume Especial,Não
21,Média,Chuva Leve,Moto,Leve,Manhã,Final de Semana/Feriado,Padrão,Não
22,Curta,Tempestade/Alerta,Van,Severo,Tarde,Final de Semana/Feriado,Padrão,Sim
23,Média,Limpo,Van,Leve,Noite,Final de Semana/Feriado,Frágil/Volume Especial,Não
24,Média,Limpo,Caminhão,Moderado,Noite,Final de Semana/Feriado,Padrão,Não
25,Média,Tempestade/Alerta,Caminhão,Moderado,Noite,Dia Útil,Padrão,Sim
26,Curta,Tempestade/Alerta,Caminhão,Leve,Tarde,Dia Útil,Padrão,Não
27,Longa,Limpo,Caminhão,Moderado,Manhã,Dia Útil,Frágil/Volume Especial,Não
28,Curta,Chuva Leve,Van,Severo,Manhã,Final de Semana/Feriado,Padrão,Não
29,Média,Limpo,Caminhão,Moderado,Tarde,Final de Semana/Feriado,Frágil/Volume Especial,Não
30,Longa,Limpo,Caminhão,Moderado,Manhã,Dia Útil,Padrão,Não
31,Média,Tempestade/Alerta,Van,Moderado,Noite,Final de Semana/Feriado,Padrão,Sim
32,Média,Chuva Leve,Moto,Leve,Tarde,Final de Semana/Feriado,Padrão,Não
33,Média,Limpo,Caminhão,Leve,Manhã,Final de Semana/Feriado,Padrão,Não
34,Média,Limpo,Moto,Moderado,Manhã,Dia Útil,Frágil/Volume Especial,Não
35,Curta,Tempestade/Alerta,Caminhão,Leve,Noite,Final de Semana/Feriado,Frágil/Volume Especial,Sim
36,Longa,Chuva Leve,Caminhão,Leve,Tarde,Final de Semana/Feriado,Padrão,Não
37,Curta,Chuva Leve,Caminhão,Leve,Noite,Dia Útil,Padrão,Não
38,Longa,Tempestade/Alerta,Caminhão,Moderado,Manhã,Dia Útil,Frágil/Volume Especial,Sim
39,Longa,Limpo,Van,Leve,Noite,Final de Semana/Feriado,Frágil/Volume Especial,Não
40,Média,Limpo,Moto,Moderado,Tarde,Dia Útil,Padrão,Não
41,Média,Chuva Leve,Moto,Leve,Tarde,Final de Semana/Feriado,Padrão,Não
42,Curta,Limpo,Van,Leve,Tarde,Final de Semana/Feriado,Padrão,Não
43,Longa,Chuva Leve,Van,Moderado,Noite,Final de Semana/Feriado,Frágil/Volume Especial,Sim
44,Média,Chuva Leve,Caminhão,Leve,Noite,Dia Útil,Padrão,Não
45,Média,Tempestade/Alerta,Caminhão,Severo,Manhã,Dia Útil,Padrão,Sim
46,Média,Chuva Leve,Moto,Leve,Tarde,Final de Semana/Feriado,Padrão,Não
47,Curta,Limpo,Moto,Moderado,Manhã,Final de Semana/Feriado,Padrão,Não
48,Curta,Limpo,Van,Leve,Manhã,Dia Útil,Frágil/Volume Especial,Não
49,Longa,Limpo,Moto,Severo,Tarde,Dia Útil,Padrão,Sim
50,Curta,Limpo,Van,Moderado,Noite,Final de Semana/Feriado,Frágil/Volume Especial,Não
51,Média,Limpo,Van,Moderado,Noite,Final de Semana/Feriado,Frágil/Volume Especial,Sim
52,Média,Chuva Leve,Van,Moderado,Tarde,Final de Semana/Feriado,Padrão,Não
53,Curta,Chuva Leve,Van,Moderado,Tarde,Final de Semana/Feriado,Frágil/Volume Especial,Não
54,Longa,Limpo,Caminhão,Leve,Manhã,Dia Útil,Frágil/Volume Especial,Não
55,Curta,Chuva Leve,Van,Moderado,Noite,Final de Semana/Feriado,Frágil/Volume Especial,Não
56,Curta,Chuva Leve,Van,Leve,Tarde,Dia Útil,Frágil/Volume Especial,Não
57,Curta,Chuva Leve,Moto,Moderado,Manhã,Final de Semana/Feriado,Padrão,Não
58,Média,Tempestade/Alerta,Van,Severo,Manhã,Dia Útil,Frágil/Volume Especial,Sim
59,Média,Chuva Leve,Van,Severo,Tarde,Final de Semana/Feriado,Frágil/Volume Especial,Não
60,Curta,Chuva Leve,Caminhão,Moderado,Noite,Final de Semana/Feriado,Padrão,Não
61,Curta,Tempestade/Alerta,Van,Severo,Tarde,Dia Útil,Frágil/Volume Especial,Sim
62,Curta,Chuva Leve,Moto,Moderado,Manhã,Final de Semana/Feriado,Padrão,Não
63,Média,Chuva Leve,Moto,Moderado,Tarde,Dia Útil,Frágil/Volume Especial,Sim
64,Média,Limpo,Van,Moderado,Manhã,Final de Semana/Feriado,Padrão,Não
65,Curta,Chuva Leve,Van,Leve,Tarde,Final de Semana/Feriado,Frágil/Volume Especial,Não
66,Média,Limpo,Caminhão,Moderado,Noite,Dia Útil,Padrão,Não
67,Curta,Tempestade/Alerta,Caminhão,Severo,Manhã,Dia Útil,Padrão,Sim
68,Média,Limpo,Moto,Moderado,Tarde,Dia Útil,Frágil/Volume Especial,Não
69,Curta,Chuva Leve,Van,Severo,Tarde,Final de Semana/Feriado,Padrão,Sim
70,Média,Limpo,Moto,Leve,Manhã,Dia Útil,Frágil/Volume Especial,Não
71,Curta,Limpo,Caminhão,Leve,Tarde,Final de Semana/Feriado,Padrão,Não
72,Curta,Tempestade/Alerta,Caminhão,Severo,Noite,Dia Útil,Frágil/Volume Especial,Sim
73,Média,Tempestade/Alerta,Moto,Leve,Tarde,Final de Semana/Feriado,Frágil/Volume Especial,Sim
74,Curta,Chuva Leve,Moto,Moderado,Manhã,Dia Útil,Frágil/Volume Especial,Não
75,Curta,Chuva Leve,Moto,Moderado,Noite,Final de Semana/Feriado,Padrão,Sim
76,Longa,Chuva Leve,Caminhão,Severo,Tarde,Dia Útil,Frágil/Volume Especial,Sim
77,Média,Chuva Leve,Van,Moderado,Manhã,Final de Semana/Feriado,Padrão,Não
78,Longa,Chuva Leve,Caminhão,Leve,Noite,Dia Útil,Frágil/Volume Especial,Não
79,Média,Limpo,Caminhão,Leve,Noite,Final de Semana/Feriado,Padrão,Não
80,Média,Limpo,Caminhão,Moderado,Manhã,Dia Útil,Frágil/Volume Especial,Não
